Date,Open,High,Low,Close,Adj Close,Volume
2010-02-10,3.790000,3.790000,3.790000,3.790000,3.430622,0
2010-02-11,3.780000,3.820000,3.770000,3.820000,3.457778,1900
2010-02-12,3.810000,3.810000,3.770000,3.770000,3.412519,2400
2010-02-16,3.760000,3.880000,3.760000,3.880000,3.512088,8300
2010-02-17,3.820000,3.930000,3.750000,3.850000,3.484932,13300
2010-02-18,4.200000,4.540000,4.150000,4.380000,3.964676,85300
2010-02-19,4.320000,4.430000,4.270000,4.350000,3.937521,25200
2010-02-22,4.370000,4.480000,4.170000,4.280000,3.874159,24800
2010-02-23,4.340000,4.390000,4.060000,4.100000,3.711227,20100
2010-02-24,4.060000,4.110000,3.890000,4.060000,3.675019,24500
2010-02-25,3.870000,4.070000,3.840000,3.910000,3.539243,124900
2010-02-26,3.900000,4.050000,3.900000,4.040000,3.656916,44600
2010-03-01,4.070000,4.140000,3.950000,4.050000,3.665969,31900
2010-03-02,3.980000,4.200000,3.980000,4.130000,3.738383,21900
2010-03-03,4.080000,4.240000,4.000000,4.230000,3.828900,17400
2010-03-04,4.150000,4.220000,4.150000,4.190000,3.792692,14400
2010-03-05,4.230000,4.250000,4.110000,4.250000,3.847004,25100
2010-03-08,4.250000,4.300000,4.120000,4.290000,3.883210,28300
2010-03-09,4.240000,4.340000,4.220000,4.270000,3.865106,55000
2010-03-10,4.300000,4.300000,4.110000,4.300000,3.892262,26300
2010-03-11,4.300000,4.360000,4.220000,4.320000,3.910368,50500
2010-03-12,4.300000,4.340000,4.240000,4.300000,3.892262,40100
2010-03-15,4.330000,4.340000,4.240000,4.300000,3.892262,30600
2010-03-16,4.330000,4.340000,4.250000,4.310000,3.901313,59500
2010-03-17,4.270000,4.340000,4.250000,4.310000,3.901313,77300
2010-03-18,4.310000,4.410000,4.300000,4.380000,3.964676,17900
2010-03-19,4.280000,4.400000,4.280000,4.280000,3.874159,52400
2010-03-22,4.270000,4.540000,4.220000,4.460000,4.037090,19900
2010-03-23,4.460000,4.460000,4.360000,4.450000,4.028039,13300
2010-03-24,4.440000,4.520000,4.360000,4.470000,4.046141,22400
2010-03-25,4.550000,4.590000,4.430000,4.430000,4.009935,24800
2010-03-26,4.390000,4.570000,4.390000,4.400000,3.982781,32500
2010-03-29,4.500000,4.530000,4.470000,4.490000,4.064244,19100
2010-03-30,4.500000,4.650000,4.450000,4.590000,4.154764,19000
2010-03-31,4.590000,4.650000,4.550000,4.600000,4.163816,17300
2010-04-01,4.650000,4.700000,4.610000,4.650000,4.209074,30800
2010-04-05,4.730000,4.850000,4.690000,4.830000,4.372005,29400
2010-04-06,4.860000,4.900000,4.840000,4.850000,4.390109,42700
2010-04-07,4.870000,4.960000,4.770000,4.910000,4.444420,19900
2010-04-08,4.930000,4.970000,4.870000,4.950000,4.480628,27200
2010-04-09,4.890000,4.960000,4.560000,4.890000,4.426317,54900
2010-04-12,4.890000,4.900000,4.840000,4.850000,4.390109,14400
2010-04-13,4.880000,4.960000,4.720000,4.960000,4.489679,22300
2010-04-14,4.930000,5.180000,4.900000,5.030000,4.553041,38600
2010-04-15,4.920000,5.090000,4.900000,5.010000,4.534938,15100
2010-04-16,5.000000,5.070000,4.970000,5.020000,4.543990,28000
2010-04-19,5.000000,5.020000,4.900000,5.000000,4.525886,24400
2010-04-20,5.030000,5.150000,5.000000,5.050000,4.571146,33300
2010-04-21,5.010000,5.090000,4.960000,5.030000,4.553041,4100
2010-04-22,5.000000,5.090000,4.980000,5.070000,4.589249,18800
2010-04-23,5.050000,5.100000,5.030000,5.090000,4.607353,4100
2010-04-26,5.130000,5.130000,5.050000,5.060000,4.580196,14300
2010-04-27,5.000000,5.000000,4.700000,4.980000,4.507782,67800
2010-04-28,5.000000,5.000000,4.910000,4.930000,4.462524,5800
2010-04-29,4.870000,4.990000,4.870000,4.990000,4.516835,22000
2010-04-30,5.000000,5.000000,4.960000,4.970000,4.498731,11500
2010-05-03,5.000000,5.000000,4.870000,4.960000,4.489679,34900
2010-05-04,4.910000,4.980000,4.840000,4.840000,4.381059,16900
2010-05-05,4.820000,4.980000,4.790000,4.950000,4.480628,15900
2010-05-06,4.960000,5.000000,4.630000,4.920000,4.453473,38600
2010-05-07,4.990000,5.000000,4.750000,4.870000,4.408212,21300
2010-05-10,5.000000,5.000000,4.860000,4.920000,4.453473,10700
2010-05-11,5.000000,5.000000,4.860000,4.980000,4.507782,23100
2010-05-12,5.000000,5.000000,4.940000,5.000000,4.525886,23100
2010-05-13,4.970000,4.980000,4.860000,4.970000,4.498731,7300
2010-05-14,4.900000,4.940000,4.870000,4.920000,4.453473,12300
2010-05-17,4.950000,4.980000,4.850000,4.860000,4.399163,11100
2010-05-18,4.860000,4.880000,4.770000,4.780000,4.326747,10100
2010-05-19,4.770000,4.870000,4.750000,4.790000,4.335797,16500
2010-05-20,4.570000,4.780000,4.570000,4.650000,4.209074,46600
2010-05-21,4.530000,4.710000,4.400000,4.600000,4.163816,41700
2010-05-24,4.590000,4.740000,4.500000,4.600000,4.163816,38000
2010-05-25,4.520000,4.620000,4.330000,4.550000,4.118557,54700
2010-05-26,4.600000,4.680000,4.600000,4.610000,4.172868,11600
2010-05-27,4.700000,5.100000,4.680000,4.700000,4.254333,152800
2010-05-28,4.710000,4.710000,4.530000,4.670000,4.227178,34900
2010-06-01,4.620000,4.820000,4.270000,4.670000,4.227178,33100
2010-06-02,4.650000,4.790000,4.490000,4.720000,4.272436,31600
2010-06-03,4.700000,4.890000,4.650000,4.750000,4.299592,26300
2010-06-04,4.750000,4.840000,4.610000,4.830000,4.372005,55200
2010-06-07,4.820000,4.820000,4.740000,4.790000,4.335797,32200
2010-06-08,4.800000,4.830000,4.610000,4.680000,4.236228,41100
2010-06-09,4.720000,4.820000,4.660000,4.720000,4.272436,20300
2010-06-10,4.750000,4.890000,4.750000,4.790000,4.335797,6600
